module,condition,seed,iterations,stop_reason,tests_retained,total_tokens,n_tests,test_lines,asserts,raises_tests,suite_chars
click._termui_impl,A,,0,human reference suite,0,0,0,0,0,0,0
click._termui_impl,B,42,1,max iterations reached,7,9053,7,23,6,1,1249
click._termui_impl,B,43,1,max iterations reached,4,9136,4,16,9,0,831
click._termui_impl,B,44,1,max iterations reached,7,9369,7,24,7,2,1448
click._termui_impl,C,42,2,no coverage gain,7,22574,7,25,9,1,1970
click._termui_impl,C,43,3,no coverage gain,8,32862,8,28,13,0,1366
click._termui_impl,C,44,2,no coverage gain,7,22752,7,24,7,2,1448
click.parser,A,,0,human reference suite,0,0,0,0,0,0,0
click.parser,B,42,1,max iterations reached,7,5804,7,60,19,0,1981
click.parser,B,43,1,max iterations reached,9,5886,9,81,22,0,2895
click.parser,B,44,1,max iterations reached,8,5901,8,68,20,0,2537
click.parser,C,42,2,no coverage gain,10,14356,10,89,22,0,3162
click.parser,C,43,3,no coverage gain,16,22667,16,104,22,1,3940
click.parser,C,44,2,no coverage gain,8,14751,8,68,20,0,2537
click.types,A,,0,human reference suite,0,0,0,0,0,0,0
click.types,B,42,1,max iterations reached,0,13633,0,0,0,0,6057
click.types,B,43,1,max iterations reached,0,14034,0,0,0,0,7746
click.types,B,44,1,max iterations reached,0,14005,0,0,0,0,7401
click.types,C,42,2,no coverage gain,0,30793,0,0,0,0,7978
click.types,C,43,2,no coverage gain,0,30390,0,0,0,0,7746
click.types,C,44,2,no coverage gain,0,30978,0,0,0,0,7401
jinja2.environment,A,,0,human reference suite,0,0,0,0,0,0,0
jinja2.environment,B,42,1,max iterations reached,3,17823,3,16,5,0,1077
jinja2.environment,B,43,1,max iterations reached,14,18302,14,55,13,0,2204
jinja2.environment,B,44,1,max iterations reached,14,19032,14,66,17,0,3620
jinja2.environment,C,42,3,no coverage gain,9,53365,9,33,11,0,1717
jinja2.environment,C,43,3,no coverage gain,11,55430,11,53,15,0,2289
jinja2.environment,C,44,2,no coverage gain,14,38538,14,66,17,0,3620
jinja2.parser,A,,0,human reference suite,0,0,0,0,0,0,0
jinja2.parser,B,42,1,max iterations reached,0,12159,0,0,0,0,0
jinja2.parser,B,43,1,max iterations reached,0,12159,0,0,0,0,0
jinja2.parser,B,44,1,max iterations reached,0,12159,0,0,0,0,0
jinja2.parser,C,42,2,no coverage gain,0,22928,0,0,0,0,0
jinja2.parser,C,43,2,no coverage gain,0,22928,0,0,0,0,0
jinja2.parser,C,44,2,no coverage gain,0,22928,0,0,0,0,0
jinja2.runtime,A,,0,human reference suite,0,0,0,0,0,0,0
jinja2.runtime,B,42,1,max iterations reached,4,10571,4,16,9,0,837
jinja2.runtime,B,43,1,max iterations reached,6,11480,6,21,12,0,1062
jinja2.runtime,B,44,1,max iterations reached,8,11130,8,37,12,0,1457
