module,condition,seed,line_percent,branch_percent,mutation_score,tests_retained,total_tokens
click._termui_impl,B,42,31.66,13.68,0.000,7,9053
click._termui_impl,B,43,27.22,7.37,0.000,4,9136
click._termui_impl,B,44,30.12,12.11,0.000,7,9369
click._termui_impl,C,42,34.94,16.32,n/a,7,22574
click._termui_impl,C,43,34.75,15.26,0.000,8,32862
click._termui_impl,C,44,30.12,12.11,0.000,7,22752
click.parser,B,42,36.40,16.36,0.000,7,5804
click.parser,B,43,39.20,19.09,0.000,9,5886
click.parser,B,44,38.00,18.18,0.000,8,5901
click.parser,C,42,41.20,20.91,0.000,10,14356
click.parser,C,43,49.60,27.27,0.000,16,22667
click.parser,C,44,38.00,18.18,0.000,8,14751
click.types,B,42,54.45,19.53,0.000,0,13633
click.types,B,43,66.19,35.16,0.000,0,14034
click.types,B,44,54.25,18.75,0.000,0,14005
click.types,C,42,62.35,23.44,0.000,0,30793
click.types,C,43,66.19,35.16,0.000,0,30390
click.types,C,44,54.25,18.75,0.000,0,30978
jinja2.environment,B,42,42.35,8.62,0.168,3,17823
jinja2.environment,B,43,47.79,11.49,0.262,14,18302
jinja2.environment,B,44,53.06,20.11,0.299,14,19032
jinja2.environment,C,42,46.43,14.94,0.186,9,53365
jinja2.environment,C,43,48.64,12.64,0.269,11,55430
jinja2.environment,C,44,53.06,20.11,0.299,14,38538
jinja2.parser,B,42,0.00,0.00,0.000,0,12159
jinja2.parser,B,43,0.00,0.00,0.000,0,12159
jinja2.parser,B,44,0.00,0.00,0.000,0,12159
jinja2.parser,C,42,0.00,0.00,0.000,0,22928
jinja2.parser,C,43,0.00,0.00,0.000,0,22928
jinja2.parser,C,44,0.00,0.00,0.000,0,22928
jinja2.runtime,B,42,40.00,3.23,0.054,4,10571
jinja2.runtime,B,43,40.00,4.84,0.107,6,11480
jinja2.runtime,B,44,40.41,3.23,0.073,8,11130
jinja2.runtime,C,42,42.89,7.26,0.132,11,34620
jinja2.runtime,C,43,40.00,4.84,0.107,6,24769
jinja2.runtime,C,44,52.16,18.55,0.156,13,36120
markdown.blockprocessors,B,42,35.16,0.93,0.000,0,8469
markdown.blockprocessors,B,43,31.29,0.00,0.000,0,8569
markdown.blockprocessors,B,44,0.00,0.00,0.000,0,8616
markdown.blockprocessors,C,42,35.16,0.93,0.000,0,20507
markdown.blockprocessors,C,43,31.29,0.00,0.000,0,20979
markdown.blockprocessors,C,44,0.00,0.00,0.000,0,16404
markdown.extensions.md_in_html,B,42,0.00,0.00,0.000,0,5245
markdown.extensions.md_in_html,B,43,21.22,4.46,0.047,4,5324
markdown.extensions.md_in_html,B,44,0.00,0.00,0.000,0,5231
markdown.extensions.md_in_html,C,42,0.00,0.00,0.000,0,10366
markdown.extensions.md_in_html,C,43,21.63,5.36,0.047,5,20166
markdown.extensions.md_in_html,C,44,0.00,0.00,0.000,0,10549
markdown.inlinepatterns,B,42,28.50,1.64,n/a,1,11711
markdown.inlinepatterns,B,43,28.50,1.64,n/a,1,13041
markdown.inlinepatterns,B,44,0.00,0.00,0.000,0,12558
markdown.inlinepatterns,C,42,28.50,1.64,n/a,1,25342
markdown.inlinepatterns,C,43,28.50,1.64,n/a,1,29261
markdown.inlinepatterns,C,44,35.63,1.64,n/a,2,39592
more_itertools.recipes,B,42,0.00,0.00,0.000,0,16811
more_itertools.recipes,B,43,0.00,0.00,0.000,0,16811
more_itertools.recipes,B,44,0.00,0.00,0.000,0,16811
more_itertools.recipes,C,42,0.00,0.00,0.000,0,32372
more_itertools.recipes,C,43,0.00,0.00,0.000,0,32372
more_itertools.recipes,C,44,0.00,0.00,0.000,0,32372
slugify.slugify,B,42,0.00,0.00,0.000,0,2320
slugify.slugify,B,43,0.00,0.00,0.000,0,2505
slugify.slugify,B,44,0.00,0.00,0.000,0,2345
slugify.slugify,C,42,85.87,76.00,0.000,0,7192
slugify.slugify,C,43,0.00,0.00,0.000,0,4551
slugify.slugify,C,44,0.00,0.00,0.000,0,4505
slugify.special,B,42,0.00,0.00,0.000,0,1116
slugify.special,B,43,0.00,0.00,0.000,0,915
slugify.special,B,44,0.00,0.00,0.000,0,1119
slugify.special,C,42,0.00,0.00,0.000,0,2190
slugify.special,C,43,0.00,0.00,0.000,0,2006
slugify.special,C,44,0.00,0.00,0.000,0,2171
